
="",="(1)",="(2)",="(3)"
="",="fe",="fe_rb",="fe_bs50"

="size",="0.120***",="0.120***",="0.120***"
="",="(0.004)",="(0.007)",="(0.008)"

="ndts",="-0.131***",="-0.131**",="-0.131**"
="",="(0.029)",="(0.048)",="(0.051)"

="tang",="0.087***",="0.087***",="0.087***"
="",="(0.015)",="(0.023)",="(0.024)"

="tobin",="-0.018***",="-0.018**",="-0.018***"
="",="(0.004)",="(0.005)",="(0.005)"

="npr",="-0.147***",="-0.147***",="-0.147***"
="",="(0.014)",="(0.020)",="(0.012)"

="_cons",="-2.074***",="-2.074***",="-2.074***"
="",="(0.093)",="(0.146)",="(0.157)"

="N",="3066",="3066",="3066"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
