
="",="(1)",="(2)"
="",="fe",="fe_iv"

="size",="0.120***",="0.102***"
="",="(0.004)",="(0.008)"

="ndts",="-0.131***",="-0.238***"
="",="(0.029)",="(0.043)"

="tang",="0.087***",="0.041"
="",="(0.015)",="(0.021)"

="tobin",="-0.018***",=""
="",="(0.004)",=""

="npr",="-0.147***",="-0.687***"
="",="(0.014)",="(0.081)"

="_cons",="-2.074***",="-1.651***"
="",="(0.093)",="(0.187)"

="N",="3066",="2628"
="r2",="0.394",=""
="r2_w",="0.394",="0.107"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
